LEMMA,TAG,PRECEDING,CONSTRUCTION,FOLLOWING,CONSTRUCTION_NAME,CONSTRUCTION_DETAILS,PERSONAL_NAME,ANIMACY (PSR),ANIMACY (PSE),ALIENABILITY,POSSESSIVE (?),,Word order,,,
sveinn,nkeþg,Grímkell kom að í því og tók upp sveininn ... og reiðist og fór til móts við þau Grím og Guðríði og biður þau taka við,sveininum,og þau vilja það gjarna,pre-dat,í,,,,,X,,,,,
lið,nheþ,Væri það þó hin mesta óhæfa að verða mér ekki að,liði,og fulltingi þótt frændsemi eina væri til að telja en nú er það ógeranda með því að þú hefir því áður til guðs skotið og þegið af mér dýrgrip,pre-dat,að,,,,,X,,,,,
konungur,nkee,En menn Sveins,konungs,,gen,s,,Y,Y,Abs,,,2,,,
tíðindi,nhfe,En er þeir voru búnir og biðu byrjar þá var það,tíðinda,í Austurey í Götu að Þrándar að einn góðan veðurdag gekk Þrándur í stofu en þeir lágu í Þorlákssynir,gen,a,,,,,X,gov (verb),,,,
konungur,nkee,Þá spurði hann Þorgils bónda ef hann vissi nokkuð til hvar lík,konungs,var,gen,s,,Y,Y,N,,,2,,,
konungur,nkee,Þá gekk til að sjá líkama Ólafs,konungs,Sveinn konungur og allir höfðingjar þeir er þar voru,pre-gen,til,,Y,Y,N,,gov (til),,,,
orð,nhfe,Hún tók til,orða,,pre-gen,til,,,,,X,gov (til),,,,
maður,nkfe,Kominn var Ófeigur til þings með fimm tigu,manna,,gen,na,,,,,PART - 50,,,,,
þing,nhee,Síðan komu menn til,þings,og leituðu um sættir,pre-gen,til,,,,,X,gov (til),,,,
faðir,nkee,og brenna landið því að hann þóttist eiga Svíum að launa fullan fjandskap er þeir höfðu tekið af lífi,föður,hans,gen,ur,,Y,N,Abs,,,2,,,
faðir,nkee,» Síðan fer Ingimundur heim til,föður,síns og var þar um veturinn,pre-gen,til,,,,,X,gov (til),,,,
lið,nhee,Þóttist hann og eiga vonir,liðs,ef hann kæmi til Eyjafjarðar,gen,s,,N,N,Y,,,2,,,
maður,nkee,ef þú vilt eigi sættast að Hrafn ríði norður á sveitir með það lið er hann fær og mun það vera margs,manns,mein,gen,s,,,,,PART - mart,,,,,
frændi,nkfe,Ætlaði Sörli þá aftur austur til,frænda,sinna,pre-gen,til,,,,,X,gov (til),,,,
lið,nhee,En nú er þú þarft,liðs,mun eg gera þér um vinveitt og ríða til þings með þér og veita þér sem eg mundi bróður mínum,gen,s,,N,N,Abs,,,2,,,
mál,nhee,Nú skal taka þar til,máls,er Böðvar bjó í Tungu í Sælingsdal,pre-gen,til,,,,,X,gov (til),,,,
mál,nhfe,En Þorgils fer með eftirmálið og er því löng frásögn um málaferli þessi og tilganga og er þetta sagt upphaf,mála,þeirra Þorgils og Hafliða Mássonar,gen,a,,N,N,Abs,,,2,,,
bú,nheþ,Það er nú að segja að Þórður situr nú í,búi,sínu á Hítarnesi um hríð og halda menn að Oddný sé nú betur gift en fyrr hafði til verið ætlað bæði til fjár og burðar og annars sóma,pre-dat,í,,,,,X,,,,,
maður,nkfe,rengdi til augun þó að óskyggn væri ef hann sæi nokkuð,manna,úti,pre-gen,til,,,,,PART - nokkrum,,,,,
hús,nhee,« Það er þá best að viða ótæpilega til,húss,því að margir þurfa eldiviðinn þeir er hér koma,pre-gen,til,,,,,X,gov (til),,,,
tíðindi,nhfe,Hann fagnaði Guðmundi vel og spurði,tíðinda,,gen,a,,,,,X,gov (verb),,,,
faðir,nkee,láta í haf eftir það og lést Þorsteinn nú fúsari í haf að láta en þá að honum væri því brugðið á Íslandi að hann hefði ei hefnt,föður,síns,gen,ur,,,,,X,gov (verb),,??,,
maður,nkfe,Eg vil að þú leitir þangað nokkur að þú þyrftir eigi að leggjast á fé,manna,,gen,na,,Y,N,Abs,,,2,,,
ferð,nvee,Hann leitar til,ferðar,,pre-gen,til,,,,,X,gov (til),,leita,,
bær,nkee,Það er sagt að Bárður bóndi átti sætur og var langt milli,bæjar,og sæturs,gen,ar,,,,,X,gov (milli),,,,
fótur,nkeþ,Ekki voru þeir vingaðir alþýðu manns en konungur mat þá mikils og voru þeir allra manna best færir bæði á,fæti,og á skíðum,pre-dat,á,,,,,X,,,,,
sonur,nkee,En fyrir bænarorð Jökuls,sonar,míns mun eg byrja mál þitt við jarl en þú ver í leynum fyrst,gen,ar,,Y,N,Abs,,,2,,,
maður,nkfe,En hann leitaði ráðs við Brand biskup en hann kallaði það ráð margra,manna,að hreinsa héruð og væru þeir menn af teknir er lengi hefðu reynst að óskilamönnum en það var þar er Björn var,gen,na,,,,,PART - mart,,,,,
land,nheþ,Nú er skipið rennir að,landi,þá stendur Þorkell upp og fór fram í stafninn og ætlaði að taka við skipinu,pre-dat,að,,,,,X,,,,,
fundur,nkee,Það er nú að segja að Hánefur fer til,fundar,við Vémund vin sinn og segir honum illmæli það sem haft var að honum,pre-gen,til,,,,,X,gov (til),,,,
hönd,nveþ,Steinunn húsfreyja bað Ögmund vel leysa Guðmund af,hendi,,pre-dat,af,,Y,Y,N,,,,??,,
skip,nheþg,Stendur maður á mesta,skipinu,við siglu,pre-dat,á,,,,,X,,,,,
konungur,nkee,Fór Bárður þegar um myrgininn snemma á fund,konungs,,gen,s,,Y,N,Abs,,,2,,,
skip,nhfe,Síðan skar hann þingboð og settist þingið svo nær vatninu að konungur átti allan kost,skipa,ef hann þættist þurfa,gen,a,,N,N,Abs,,,2,,,
fundur,nkee,Þorgils kom þá til,fundar,við Þórð og var löngum með honum,pre-gen,til,,,,,X,gov (til),,,,
þing,nheþ,Um sumarið eftir á,þingi,gerði biskup gerð þessa við ráð Páls biskups og Sæmundar úr Odda tólf hundruð vaðmála á hendur Kolbeini,pre-dat,á,,,,,X,,,,,
sumar,nheþ,Frændur hennar vildu eigi gifta honum hana fyrr en sú stund væri liðin er á kveðið var með þeim Birni en að,sumri,er skip kæmu og spyrðist þá eigi til Bjarnar þá sögðust þeir mega um ræða,pre-dat,að,,,,,X,,,,,
bú,nhee,Eitt sinn er þau hjón fóru til,bús,á Hjalla tók Þorgils þar sótt,pre-gen,til,,,,,X,gov (til),,,,
maður,nkee,Eftir þingið söfnuðu þeir báðir liði til féránsdóma og þá fór Einar í Hvamm með hálft fjórða hundrað manna en hann lét eftir í Saurbæ Hrólf Gunnólfsson við hundrað,manns,,gen,s,,,,,X,gov (við),,??,,
vetur,nkfe,Þá var Hrafn fimmtán,vetra,,gen,a,,,,,PART - 15,,,,,
konungur,nkee,er Haraldur konungur hafði haft réðu það að hleypiskip var gert og sent norður til Þrándheims að segja fall Haralds,konungs,og það með að Þrændir skyldu taka til konungs son Haralds konungs,gen,til,,Y,N,N,,,2,,,
fé,nhee,fer til bús síns með auð,fjár,,gen,r,,N ,N,N,,,2,,,
fé,nheþ,Hún kvað hann genginn að,fé,upp í Holtsdal,pre-dat,að,,,,,X,,,,,
hönd,nveþ,Mun þá svo fara sem minnur er að sköpuðu að eg mun taka vopnin og vita ef nokkurir menn vilji fylgja mér en eg mun fá þér af,hendi,búrluklana,pre-dat,af,,Y,Y,N,,,,,,
bær,nkeþg,synir Breiðár-Skeggja og allir aðrir Íslendingar þeir sem þar voru í,bænum,,pre-dat,í,,Y,Y,N,,,,,,
orð,nheþ,En þar kom að Gissur tók undir sig málið og lýsti sök að Lögbergi og kvað svo að,orði,að « eg lýsi lögmætu frumhlaupi á hönd Gunnari Hámundarsyni um það er hann hljóp lögmætu frumhlaupi til Þorgeirs Otkelssonar og særði hann holundarsári því er að ben gerðist en Þorgeir fékk bana af,pre-dat,að,,,,,X,,,,,
skip,nhee,Þórður lét flytja til,skips,allt lausafé það er móðir hans átti þar en smala skyldi reka fyrir innan fjörðu,pre-gen,til,,,,,X,gov (til),,,,
sverð,nheeg,Snækólfur hjó í slána svo að fal báða eggteina,sverðsins,,gen,DEF-ins,,N,N,N,,,2,,,
maður,nkfþ,Og bráðlega eftir vígið þá var Gísl tekinn og fjötraður af,mönnum,konungsins,pre-dat,af,,,,,X,,,,,
þing,nhee,Þá fýsir hann vestur aftur til fóstra síns og fer hann til,þings,norðan með Þorvarði,pre-gen,til,,,,,X,gov (til),,,,
skip,nhee,taka þá höndum Eyvind og leiða hann til,skips,með sér,pre-gen,til,,,,,X,gov (til),,,,
sveinn,nkee-s,Svo er sagt að eftir þenna atburð kom Þorleifur sér í skip með kaupmönnum og sigldu suður til Danmerkur og fór hann á fund,Sveins,konungs og var með honum um veturinn,gen,til,+PN,Y,N,Abs,,,2,,,
bóndi,nkee,Um morguninn þegar dagur var fór hún og sagði frændum sínum þetta víg,bónda,síns,gen,a,,Y,N,Abs,,,2,,,
maður,nkfe,Síðan var saman jafnað annarra,manna,sárum og bættur skakki sá er á þótti vera og skildust menn sáttir á þinginu og hélst sú sætt vel meðan þeir lifðu báðir,gen,na,,,,,X,gov (verb),,,,
konungur,nkee,Eg kann skaplyndi ykkars,konungs,að ekki munuð þið svo stilla ykkrum orðum að það muni vel hlýða og er mér þá ekki betra um að tala ef áður verður meira að,gen,s,,Y,N,Abs,,,1,,,
fundur,nkee,að boða Hrafni Sveinbjarnarsyni til,fundar,við sig í Miðfjörð og vildi biskupsefni krefja hann til utanferðar með sér,pre-gen,til,,,,,X,gov (til),,,,
skip,nheþ,Hann fór á,skipi,,pre-dat,á,,,,,X,,,,,
mál,nheeg,En þó hefir þú svo vel til lagið Hrútur að eg trúi þér vel til,málsins,,pre-gen,til,,Y,N,Abs,,,,??,,
hönd,nveþ,Vil eg vænta nú með guðs miskunn að vorar sættir fari vel af,hendi,,pre-dat,af,,,,,X,,,,,
höfuð,nheþ,Hafði Magnús konungur hjálm á,höfði,og rauðan skjöld og lagt á með gulli leó,pre-dat,á,,,,,X,,,,,
maður,nkfe,en var þó stórra,manna,og svo auðigur að hann vissi varla aura sinna tal,gen,na,,,,,X,gov (verb),,??,,
skip,nhfþ,Hljópu þeir og af,skipum,og ráku þá og drápu,pre-dat,af,,,,,X,,,,,
konungur,nkee,en þá höfðu sakar gerst ... hirðmaður Magnúss,konungs,hafði vegið hirðmann Haralds konungs og var lagður til sáttarfundur að konungar skyldu sjálfir finnast og skipa málinu,gen,s,,Y,Y,Y,,,2,,,
þorbjörn,nkee-s,Eru enn margir frændur,Þorbjarnar,,gen,ar,+PN,Y,Y,Y,,,2,,,
þorkell,nkee-s,Gísla og,Þorkels,,gen,s,+PN,Y,?,?,,,2,,,
konungur,nkee,Þar spurðu þeir andlát Sverris,konungs,,gen,s,+PN,Y,N,Abs,,,2,,,
orð,nhee,Mjög lögðu menn til,orðs,Þorkatli Eyjólfssyni er hann rak eigi þessa réttar,pre-gen,til,,,,,X,gov (til),,,,
land,nheþ,Eg skal konungur í þessu,landi,og setja lög og rétt en ei hann,pre-dat,í,,,,,X,,,,,
maður,nkee,» Þeir komu til þess,manns,er Hárekur hét,pre-gen,til,,,,,X,gov (til),,,,
dagur,nkeþ,Hann segir að herra Brandur ábóti hafði verið um nóttina að Lundi í Reykjardal og hann var þá kominn í Bæ og hafði Böðvar því eigi þangað riðið að hann vildi ríða með ábóta þangað að áliðnum,degi,,pre-dat,að,,,,,X,,,,,
bróðir,nkee,En það varð ráð þeirra að vilja Þorgerðar að hún skyldi búa á Eyri með umsjá Þorgeirs,bróður,síns,gen,ur,+PN,Y,N,Abs,,,2,,,
skip,nheþ,Sátu þeir nú um kyrrt þann vetur en að sumri bjuggust þeir til Íslands á sínu,skipi,hvorir og skildu í hafi,pre-dat,á,,,,,X,,,,,
sinn,nheþ,Var þá auðfundið á henni og þeim báðum að þeim þótti mikið fyrir að skilja að því,sinni,,pre-dat,að,,,,,X,,,,,
maður,nkee,Kom þar fjöldi,manns,saman,gen,s,,N,Y,Abs,PART - fjöld,,,,,
faðir,nkee,,föður,Droplaugar,gen,ur,,Y,Y,N,,,2,,,
konungur,nkee,Voru þá njósnir gervar til liðs Knúts,konungs,en þeir lágu þar báðir konungar,gen,s,+PN,Y,N,Y,,,2,,,
sverð,nheeg,En ef svo verður að eg kalli síðar til,sverðsins,þá vildi eg að þú létir laust en eg mun fá þér annað vopn það er gott er,pre-gen,til,,,,,X,gov (til),,,,
ráð,nheþ,« Seg þú satt frá því er eg spyr þig en eg skal sjá fyrir,ráði,þínu svo að þig skal ekki saka,pre-dat,frá,,,,,X,,,,,
leið,nveþ,En er af,leið,veturinn voraði vel,pre-dat,af,,,,,X,,,,,
konungur,nkee,Brátt er hann kom út fór hann að finna jarl og flutti djarflega,konungs,erindi fyrir honum,gen,s,,Y,N,Y,,,1,,,
tíðindi,nhfe,níu vetra gamlan þá er þetta varð,tíðinda,,gen,a,,,,,X,gov (verb),,,,
þórdísur,nvee-s,« Illa erum vér við komnir að þola ágang yðvarn en fjölkynngi,Þórdísar,» og kvað vísu,gen,ar,+PN,Y,N,Abs,,,2,,,
bóndi,nkeþ,Og er þessa er getið fyrir Guðrúnu um þetta segir hún að henni þykir jafnvel þótt hún eigi ekki hann Þorkel Eyjólfsson að,bónda,« og fari hann á burt sem hann kom,pre-dat,að,,,,,X,,,,,
konungur,nkee,Og er þetta herboð kom í,konungs,herbergi klæddist hann nú sjálfur skjótt og hét á þá menn er hjá honum voru,gen,s,,Y,N,N,,,1,,,
vetur,nkfþ,Er mér sagt gott frá landakostum að þar gangi fé sjálfala á,vetrum,en fiskur í hverju vatni,pre-dat,á,,,,,X,,,,,
maður,nkfe,Og fór eftir því sem vitrir menn höfðu fyrir séð að sætt,manna,hélst sem á var kveðið og er ekki getið þeirra viðskipta síðan,gen,na,,,,,X,gov (verb),,post,,
konungur,nkee,Og var svo gert að Þrændir tóku Hákon til,konungs,um allt land,pre-gen,til,,,,,X,gov (til),,,,
mál,nhee,Nú er þar til,máls,að taka að þeir Grímur og Helgi synir Njáls fóru af Íslandi það sumar sem þeir Þráinn fóru utan og voru á skipi með þeim Ólafi eldu Ketilssyni og Bárði hinum svarta,pre-gen,til,,,,,X,gov (til),,,,
sonur,nkeþ,« Taka vil eg af,syni,hans,pre-dat,af,,,,,X,,,,,
þing,nheþg,Og eftir þetta um liðið riðu menn heim af,þinginu,og var Gunnlaugur heima á Gilsbakka,pre-dat,af,,,,,X,,,,,
hönd,nveþ,Sá hafði og hjálm á höfði og gyrður sverði og spjót mikið í,hendi,og fór á einn hátt með sem hinn fyrri,pre-dat,í,,,,,X,,,,,
höfuð,nhee,Þessi tíðindi spurði Hákon jarl og lét dæma Kol útlagan um allt ríki sitt og lagði fé til,höfuðs,honum,pre-gen,til,,Y,N,Abs,,gov (til),,,,
mál,nhfþ,Reið hann heim með flokk sinn á Finnbogastaði og sat um kyrrt og þótti enn hafa vaxið mjög af þessum,málum,öllum saman,pre-dat,af,,,,,X,,,,,
maður,nkfe,« Seg þú,manna,heilastur,gen,na,,,,,X,gov (verb),,,,
maður,nkfe,Ávallt er konungs ríki skal verja er hann í leiðangri og fær gott orð af hreysti sinni og hefir um sig mikla sveit,manna,,gen,na,,N,Y,Abs,PART - sveit,,,,,
vor,nheþ,Ætlaði eg á,vori,er eg réðist hingað að eg mundi eigi barður til meiðinga eða með öllu til bana,pre-dat,á,,,,,X,,,,,
orð,nhfþ,Þorvaldi varð ekki að,orðum,við Hrafn og þótti honum það undarlegt og eigi sá hann erindi við sig í því sinni,pre-dat,að,,,,,X,,,,,
hestur,nkeþ,» Kolskeggur tekur vopn sín og leitar sér að,hesti,og ríður eftir slíkt er hann mátti,pre-dat,að,,Y,Y,Y,,,,,,
land,nhfe,En er skip gengu milli,landa,þá komu þessar fréttir fram í Noregi fyrir Ólaf konung um líflát Þorgeirs Hávarssonar og förunauta hans,gen,a,,,,,X,gov (milli),,,,
þorkell,nkee-s,En jarl svarar vel og segir að hann skyldi mikils virða orð,Þorkels,,gen,s,+PN,Y,N,Abs,,,2,,,
bak,nheþ,Hann stígur af,baki,og gengur inn í búðina,pre-dat,af,,Y,Y,N,,,,hestr - impl,,
skip,nhfe,Og er þeir gengu úr jarðhúsinu tóku þeir konu þá hina yngri og fluttu með sér til,skipa,og svo hina eldri,pre-gen,til,,,,,X,gov (til),,,,
vetur,nkeþ,Kálfur þessi óx dagvöxtum svo að um vorið er kálfar voru út látnir þá var hann eigi minni en þeir er alnir voru á öndverðum,vetri,,pre-dat,á,,,,,X,,,,,
lið,nhee,en er vatnið gróf út tveggja vegna þá féllu bakkarnir og þar fólkið með og týndist þar fjöldi,liðs,,gen,s,,N,N,Abs,PART - fjöld,,,,,
maður,nkfe,Þorsteinn hafði og fjóra tigu,manna,,gen,na,,,,,PART - 40,,,,,
konungur,nkee,Þótti Birni þá gerast nokkur von til uppreistar um ríki Ólafs,konungs,ef hann kæmi til Noregs að þá væri þar höfðingjalaust fyrir,pre-gen,til,,Y,N,N,,,,,,
maður,nkfe,Steingrímur barðist alldjarflega og varð fjögurra,manna,bani,gen,na,,,,,PART - 4,,,,,
snorri,nkee-s,En um sumarið eftir kom Jón Birnuson í Stafaholt til,Snorra,og sagði Sighvat hafa sent sig,pre-gen,til,+PN,,,,X,gov (til),,,,
fótur,nkfþ,» Og einn morgun snemma var Þorkell á,fótum,og spurði Finnbogi hvað hann skyldi,pre-dat,á,,,,,X,,,,,
skip,nhee,Fóru þeir þá til,skips,og fóru út eftir firði til Skutilsfjarðar og fengu sér þar hesta og riðu vestur yfir heiði,pre-gen,til,,,,,X,gov (til),,,,
maður,nkfþ,Skulum við ræða um konu þessa alla vega þess er þú vilt og má í hug koma og mun eg gefa mér tóm til þessa því að það verður stundum að,mönnum,verður harms síns að léttara er um er rætt,pre-dat,að,,,,,X,,,,,
mál,nheþ,» « Það vildi eg að þeir ætu að einu,máli,kýr Hálfdanar bróður míns,pre-dat,að,,,,,X,,,,,
mál,nhfe,Fór þá Sigurður konungur brott af Miklagarði en eftir dvaldist mikill fjöldi manna og gekk á,mála,,dat,a,,,,,X,,,,,
maður,nkfe,Guðmundur biskup kom norðan og hafði verið með Snorra um þingið með mikla sveit,manna,,gen,na,,N,Y,Abs,PART - sveit,,,,,
ferð,nvee,Þórir eggjaði hann ákaflega þessar,ferðar,og lofaði hann mjög og atgervi hans,gen,ar,,,,,X,gov (verb),,,,
bú,nhee,fór síðan norður á Sandnes til,bús,síns,pre-gen,til,,,,,X,gov (til),,,,
skip,nhfe,Eftir víg Þormóðar fóru þeir Ásbjörn til,skipa,sinna og sigldu út eftir Ísafirði,pre-gen,til,,,,,X,gov (til),,,,
mál,nhee,» Þá tók Arinbjörn til,máls,,pre-gen,til,,,,,X,gov (til),,,,
land,nhee,En eftir um vorið vísaði Skalla-Grímur Katli til,lands,upp frá landi Óleifs með Hvítá frá Flókadalsárósi og til Reykjadalsáróss og tungu þá alla er þar var á milli upp til Rauðsgils og Flókadal allan fyrir ofan brekkur,pre-gen,til,,,,,X,gov (til),,,,
hrólfssonar,nkee-s,Önundur hét faðir hans,Hrólfssonar,Helgasonar hins magra,lpn,,+PN,Y,Y,N,,,,,,
land,nheþg,Og annan dag eftir í lögréttu var það í lög sett að af skyldi taka hólmgöngur allar þaðan í frá og var það gert að ráði allra vitrustu manna er við voru staddir en þar voru allir þeir er vitrastir voru á,landinu,,pre-dat,á,,,,,X,,,,,
fótur,nkeþg,Grettir sagði að honum gerðist illt í,fætinum,« og þætti mér líkara að nokkuð litbrigði væri á,pre-dat,í,,Y,Y,N,,,,,,
hönd,nvee,Í þann hluta garðsins er til hægri,handar,þeim Þórði var er fram vissi til Bæjar voru þeir Þormóður Hjálmsson og Þorkell Magnússon,pre-gen,til,,,,,X,gov (til),,,,
fótur,nkfþ,Hann var mikill vexti og nokkuð við aldur og skaust á,fótum,og þó hinn karlmannlegasti og svo leist mér sem fullur væri upp harms og óyndis og skaprauna og svo var hann reiður að hann gáði eigi hvar hann fór,pre-dat,á,,Y,N,Abs,,,,,,
hönd,nvfe,Vildi Sighvatur fá Hvammsland af honum til,handa,Svertingi Þorleifssyni en Sturla mælti heldur í móti og fékk Sighvatur það ekki af Böðvari,pre-gen,til,,,,,X,gov (til),,,,
faðir,nkee,Vil eg þar til kosta fjár,föður,míns er nógt er til en hafa af þér ásjá og orðafullting,gen,ur,,Y,N,Abs,,,2,,,
orð,nhfe,Gengur nú Bjarni út og sér nú hvernig um er búið og hefir ekki,orða,um fleira,gen,a,,,,,PART - ekki,,,??,,
hönd,nveþ,En þau ein fóru orð í milli er ekki voru til sætta og svo lét hvortveggi drepa vini annars og varð ekki af fégjaldinu af Eysteins,hendi,,pre-dat,af,,,,,X,,,,,
maður,nkfe,Þykir mér von að haugur hans muni vera norðarlega í Hellulandsóbyggðum að annarra,manna,frásögn,gen,na,,Y,N,N,,,1,,,
bær,nkeþg,» Og er þeir riðu ofan af heiðinni að,bænum,þá sáu þeir að Björn var úti á túnvelli og smíðaði vögur og var ekki manna hjá honum og engi vopn nema lítil öx og tálguhnífur mikill er hann hafði tekið með úr vagaborunum,pre-dat,að,,,,,X,,,,,
maður,nkeþ,Síðan kaupir hann skip að hjaltneskum,manni,,pre-dat,að,,,,,X,,,,,
hönd,nvfe,« Það hygg eg að þú kjósir þann hlut til,handa,báðum okkur er verr muni gegna,pre-gen,til,,N,Y,Abs,PART - hlut,gov (til),,,,
land,nhee,Þeir minntu konung oft á það og svo það með að Þórólfur hafði rænt konung og þegna hans og farið með hernaði þar innan,lands,,gen,s,,,,,X,gov (innan),,,,
bær,nkeþ,Björn hittir Ref og spyr ef hann vill kaupast láta að húsa,bæ,sinn,gen,að,,N,N,N,,,2,,,
dagur,nkee-s,Sáu þeir konungur þá lið,Dags,hvar það fór,gen,s,+PN,Y,N,Y,,,2,,,
skip,nheþg,Þá er eg var sofnaður á,skipinu,kom að mér Ólafur konungur faðir minn og mælti styggt,pre-dat,á,,,,,X,,,,,
skip,nhfe,En bændur kjósa hinn kost heldur að búa konungi veislur þá stund alla er hann þurfti til þess og tók konungur þann kost að hann fór um land að veislum með sumt lið sitt en sumt gætti,skipa,hans,pre-gen,til,,Y,N,Y,,,,??,,
sigríður,nvee-s,Það barst að einn aftan þá er Þorkell og Þormóður vildu ganga út til skemmu og Sigríður með þeim þá tók Loðinn til,Sigríðar,og hélt henni en hún togast úr höndum honum,pre-gen,til,+PN,,,,X,gov (til),,,,
hestur,nkfe,» Og stíga þeir undan borðinu og ganga til,hesta,sinna og stíga á bak og ríða úr garði,pre-gen,til,,,,,X,gov (til),,,,
maður,nkfe,Lét hann þá fara heim hið óknálegra liðið en lét taka fjóra teinæringa og lét flytja til Barðastrandar og sté þar á skip með sex tigu,manna,og fór suður um Breiðafjörð til Fagureyjar,pre-gen,til,,,,,PART - 60,,,,,
